reactant , product, 68.0, 3.0
reactant , product, 58.5, 4.5
reactant , product, 40.0, 2.5
reactant , product, 38.5, 4.5
reactant , product, 53.0, 2.5
reactant , product, 48.5, 4.5
product , reactant, 40.0, 4.0
reactant , product, 49.0, 1.0
product , reactant, 71.0, 2.0
product , reactant, 56.0, 2.0
reactant , product, 40.5, 3.5
product , product, 67.0, None
product , reactant, 53.0, 6.5
reactant , product, 58.0, 4.5
reactant , product, 48.0, 5.0
reactant , reactant, 81.5, None
product , reactant, 58.5, 5.5
product , reactant, 39.5, 2.5
reactant , product, 50.5, 6.5
product , reactant, 55.0, 6.0
product , reactant, 37.5, 1.0
product , reactant, 37.0, 1.5
reactant , product, 52.5, 4.5
reactant , product, 57.0, 3.0
product , reactant, 61.0, 1.0
product , reactant, 53.0, 6.0
product , reactant, 66.5, 1.0
reactant , product, 61.0, 3.0
reactant , product, 45.0, 4.0
reactant , product, 56.5, 5.5
product , reactant, 51.0, 3.0
product , reactant, 56.5, 0.5
reactant , product, 44.5, 2.0
reactant , product, 64.5, 6.5
product , reactant, 112.5, 4.0
product , reactant, 48.5, 4.5
reactant , product, 51.0, 3.5
reactant , product, 85.5, 0.0
product , reactant, 46.0, 8.0
product , reactant, 46.0, 6.0
product , reactant, 68.0, 1.5
reactant , product, 78.0, 2.5
product , reactant, 82.5, 6.0
reactant , product, 45.0, 5.5
reactant , product, 57.0, 7.5
product , reactant, 111.0, 9.5
reactant , product, 39.5, 3.5
product , reactant, 68.5, 4.5
product , reactant, 48.5, 8.5
reactant , reactant, 101.0, None
reactant , product, 51.5, 5.0
reactant , reactant, 81.0, None
product , reactant, 54.0, 6.0
reactant , product, 72.0, 9.5
reactant , product, 43.0, 3.5
product , reactant, 58.5, 5.0
product , reactant, 43.5, 0.5
reactant , product, 33.5, 5.5
reactant , product, 72.5, 7.5
reactant , product, 51.0, 1.5
product , reactant, 32.0, 0.5
product , reactant, 57.0, 13.0
reactant , reactant, 87.0, None
product , reactant, 72.0, 1.5
reactant , product, 56.0, 4.5
reactant , product, 52.5, 1.0
reactant , product, 68.0, 2.5
reactant , product, 44.0, 6.0
product , reactant, 50.0, 2.0
reactant , ts, 106.5, None
reactant , product, 60.0, 0.5
reactant , product, 45.0, 2.5
product , reactant, 61.5, 3.5
reactant , product, 84.5, 2.0
reactant , reactant, 79.5, None
reactant , product, 51.0, 1.5
reactant , product, 58.0, 5.0
product , reactant, 45.0, 3.0
reactant , reactant, 86.0, None
reactant , product, 58.0, 2.0
reactant , product, 52.0, 11.0
reactant , product, 49.5, 9.0
product , reactant, 47.0, 3.0
reactant , product, 70.5, 8.0
product , reactant, 79.5, 2.0
product , reactant, 44.5, 4.5
product , reactant, 65.0, 2.0
product , reactant, 91.5, 6.0
product , reactant, 72.0, 4.0
product , reactant, 60.5, 4.5
reactant , product, 64.5, 1.0
reactant , product, 34.5, 2.0
reactant , product, 46.0, 3.0
product , reactant, 65.5, 6.5
product , reactant, 54.0, 0.5
reactant , reactant, 76.5, None
reactant , product, 41.5, 2.5
reactant , product, 51.0, 2.5
reactant , product, 45.5, 4.0
reactant , product, 37.5, 1.0
reactant , product, 60.0, 0.5
reactant , product, 43.0, 4.5
reactant , reactant, 100.5, None
reactant , product, 71.5, 1.0
reactant , product, 76.5, 3.5
reactant , product, 45.5, 2.0
reactant , product, 42.5, 5.0
product , reactant, 54.0, 0.0
reactant , product, 47.0, 1.0
product , reactant, 56.5, 5.0
reactant , product, 48.5, 3.5
product , product, 89.5, None
reactant , product, 62.0, 2.5
product , reactant, 45.5, 0.5
product , reactant, 61.5, 6.0
product , reactant, 42.5, 3.5
product , product, 72.0, None
